ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
319,Mythologizing Samory Touré as Touré's Ancestor,"Sékou Touré falsely claimed to be the biological grandson or reincarnation of Samory Touré, a 19th-century anti-colonial hero. The state used this narrative to link modern Guinea to a glorified precolonial empire and to justify Touré’s personal rule as the continuation of a nationalist legacy.","Official history declared that Touré was a direct descendant of Samory and that Guinea was the natural successor of the Wassoulou Empire. This claim helped suppress ethnic divisions and consolidate Touré’s image as a messianic leader, despite lack of genealogical evidence.",Guinea,1958–1984,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
320,The 1968 Repatriation of Samory Touré’s Remains,"In 1968, Guinea held national celebrations for the return of Samory’s remains. These ceremonies were designed by the state to sacralize Touré’s political lineage and reinforce his authority through connection with Samory, thereby legitimizing his autocracy.","The state portrayed the event as a national religious and political homecoming, reinforcing Touré’s messianic claims. The propaganda erased complexities of Samory’s legacy and imposed a homogenized version of history as a foundational myth for the Guinean nation under Touré.",Guinea,1968,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
321,National Dress Code as Symbol of Political Loyalty,"Touré institutionalized dress (white suit and “Touré hat”) as visual cues of political loyalty. Clothing that deviated from this norm was viewed as subversive. Images of people in Western attire were used as warnings against disloyalty, and cultural enforcement was exercised even in fashion.","The regime claimed that correct attire signaled patriotic values and alignment with national goals. People in Western suits were depicted in propaganda as corrupted, anti-African, or colonized minds. Touré’s personal dress became a required cultural uniform.",Guinea,1960–1970,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
322,Fabrication of Coup Attempts to Eliminate Dissenters,"The regime used false coup allegations and accusations of anti-Guinean activity to justify the imprisonment, execution, or exile of artists and critics. This was often done under the guise of protecting the revolution and national identity.",The official narrative asserted that Guinea was constantly under threat from internal saboteurs and external imperialists. Any deviation from the regime’s cultural policy was presented as treasonous activity funded by enemies of the revolution.,Guinea,1960–1980,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
323,Touré's appropriation of Samory Touré’s legacy,"Sékou Touré fabricated a biological link to Samory Touré and later claimed to be his reincarnation. This claim helped legitimize his power and framed Guinea as a continuation of the Wassoulou Empire, uniting Guineans under a mythologized, anti-colonial lineage.","Touré promoted the idea that he was a direct descendant of Samory to sanctify his leadership and suppress ethnic tensions, turning a debated genealogy into official state mythology that bypassed regional identity complexities.",Guinea,1958–1984,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
324,Demystification campaign and cultural erasure,"The 1959–1961 “demystification” program aimed to eliminate “backward” traditions by banning ethnic-specific cultural expressions. Soldiers destroyed polytheistic symbols, traditional masks, and cultural literature, resulting in widespread loss of heritage and the criminalization of ethnic customs.","The regime presented demystification as a modernizing force that would unify the country, portraying banned traditions as divisive, non-progressive, and anti-national, masking the repressive erasure of cultural pluralism.",Guinea,1959–1961,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
325,Fabricated assassination plots and arrests of artists,"Artists and intellectuals were accused of plotting assassinations or coups and punished under laws against “anti-Guinean” activity. These accusations often lacked evidence and were used to justify imprisonment, exile, or execution of political dissidents.","The regime claimed these individuals were legitimate threats to national security and Touré’s life, using conspiracy narratives to suppress dissent and criminalize independent cultural production.",Guinea,1960–1980,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
326,Militarization of cultural festivals and public imagery,"Touré used massive portraits and performances to construct a hyper-centralized state image, where Touré himself symbolized Guinea. Youth wore uniforms and performed militarized dances, portraying cultural celebration as an extension of state-mandated patriotism.","The regime depicted cultural festivals as expressions of grassroots national pride, concealing the top-down orchestration, censorship, and militarization that shaped public expression.",Guinea,1960–1980,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
327,Touré’s visual portrayal as sacred and superhuman figure,"Touré’s portraits circulated with divine associations, likening him to prophets and archangels. Cultural acts performed before his image were deemed genuine; those without his visual presence were labeled subversive.","Official imagery projected Touré as omnipresent and divinely ordained, framing loyalty to his image as national duty, while portraying deviation as betrayal of the revolution.",Guinea,1960–1980,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
328,Criminalization of “individualistic” art and clothing,Clothing styles that deviated from the “Touré suit” were condemned as anti-Guinean. A 1970 festival photograph showed a man in Western attire as a symbol of intellectual betrayal. This visual propaganda stigmatized nonconformity and controlled identity.,"The regime used fashion and visual codes to delineate “good” citizens from “bad,” denying artistic autonomy and presenting cultural control as self-evident patriotism.",Guinea,1970,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
329,Mythologization of Samory Touré’s visual legacy through state art,The state produced imagery that depicted Samory Touré wearing a white suit and boxy hat—identical to Touré’s attire—conflating the two men and reinforcing a fabricated lineage through visual propaganda.,"The regime used curated state art to visually rewrite history, presenting Touré’s fashion and persona as a reincarnation of Samory, thus legitimizing his authority and ideology through invented continuity.",Guinea,1970,https://library.oapen.org/bitstream/20.500.12657/27685/1/1002321.pdf,manual
